toss_win,5_total_runs,10_total_runs,15_total_runs,20_total_runs,20_player_dismissed,inn1_avg,roll_win
0,26.0,75.0,100.0,141.0,4.0,159.87234042553192,2.0
0,32.0,54.0,90.0,120.0,7.0,164.4179104477612,0.0
1,44.0,87.0,131.0,178.0,3.0,167.87671232876713,1.0
0,39.0,72.0,112.0,170.0,4.0,149.0,0.0
1,30.0,71.0,109.0,168.0,4.0,166.85714285714286,1.0
0,35.0,81.0,132.0,166.0,8.0,167.87671232876713,2.0
0,41.0,88.0,133.0,190.0,3.0,163.28571428571428,1.0
1,17.0,48.0,90.0,136.0,9.0,156.58928571428572,1.0
0,22.0,80.0,131.0,183.0,8.0,175.66666666666666,0.0
1,37.0,74.0,107.0,172.0,5.0,147.64705882352942,1.0
1,27.0,56.0,89.0,130.0,7.0,156.58928571428572,1.0
1,39.0,69.0,125.0,192.0,1.0,164.4179104477612,1.0
1,21.0,48.0,77.0,132.0,7.0,164.4179104477612,1.0
1,33.0,65.0,104.0,165.0,6.0,161.62337662337663,0.0
1,25.0,58.0,100.0,148.0,9.0,161.62337662337663,2.0
